Lake ID,Lake Name,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,Lat,Long,Sample Depth,Lake area,MAT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,WpH
912,Farewell,1.4,18.1,0.2,0.2,0.0,0.0,17.0,3.6,0.5,1.3,0.0,0.0,5.3,0.8,0.1,52.47,-109.38,0.4,1.11,2,3.33,-14.53,2.5,16.53,6.77,16.5,16.5,3.57,9.4
913,Arthur,0.8,2.4,0.0,0.1,0.0,0.0,1.2,3.3,1.2,0.8,0.0,2.6,4.6,1.0,0.6,52.56,-105.45,6.7,2.65,1.1,2.6,-16.3,1.43,16.5,6.86,15.06,20.34,8.3,8.88
914,Rabbit,11.3,26.1,1.4,2.4,0.3,0.3,19.0,33.7,15.9,10.0,1.3,0.8,35.6,11.3,3.6,52.62,-106.99,6.5,3.76,1.7,2.93,-15.33,2.27,16.77,6.54,19.05,19.94,4.23,9.21
915,Wolverine,8.1,24.0,0.9,1.6,0.3,0.3,12.9,24.2,9.8,6.7,1.1,0.6,26.3,11.2,3.6,52.02,-105.23,3.1,3.93,1.5,3.27,-16,1.73,17.07,7.15,21.24,21.3,0.8,8.93
916,Clearwater,119.2,149.6,8.1,27.7,0.5,3.0,92.8,139.5,54.3,70.7,2.4,5.0,130.6,57.7,8.9,50.87,-107.93,7,0.56,3.2,4.27,-12.57,3.5,17.43,6.63,19.08,19.3,0.68,9.18
918,Kindersley,60.8,63.6,2.1,2.2,0.0,0.1,84.6,81.8,22.0,14.5,0.5,0.4,42.5,20.6,1.7,51.42,-109.1,1.6,0.09,2.6,3.87,-13.6,2.77,17.17,6.81,17.57,17.57,0.42,9.66
919,Lewis Creek South,5.5,11.9,0.4,0.8,0.0,0.0,5.9,9.9,3.2,3.9,0.2,0.4,9.1,4.3,0.7,51.44,-105.53,1.9,1.73,2.4,4.07,-14.63,2.43,17.53,6.86,21.1,21.1,1.36,8.74
920,Snipe,8.0,45.8,2.2,2.2,0.0,0.0,11.9,32.1,9.7,8.6,0.4,0.5,12.2,9.1,1.4,51.22,-108.86,1.2,4.27,3,4.07,-13.1,3.4,17.53,7.15,18.65,18.65,1.67,8.85
922,Crooked,238.7,211.6,22.0,29.0,3.7,3.6,169.3,138.4,111.2,105.1,10.0,7.9,132.0,80.0,19.9,50.6,-102.68,10.2,16.11,2.2,3.77,-15.07,2.63,17.43,7.37,21.33,24.25,0.82,8.72
923,Charron,6.2,11.2,1.1,1.3,0.2,0.0,13.7,19.5,5.4,2.9,0.6,0.4,31.8,4.7,1.8,52.4,-104.31,8.8,4.02,0.5,2.23,-16.93,0.73,15.93,6.91,16.78,18.9,4.9,10.55
