Lake ID,Lake Name,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,Lat,Long,Sample Depth,Lake area,Altitude,JanP,FebP,MarP,AprP,MayP,JunP,JulP,AugP,SepP,OctP,NovP,DecP,AnnualP,AutumP,WinterP,SpringP,SummerP,JanT,FebT,MarT,AprT,MayT,JunT,JulT,AugT,SepT,OctT,NovT,DecT,AvT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,OrgCarbon,TOCW,WO,WpH,TDS,Alkalinity,Bicarbonate,Carbonate,Ca,SO4,Na,Mg,K,Cl
1243,Summercove,18,19,1,1,0,16,17,0,6,6,0,8,0,5,1,49.32,-107.04,5,0.70,821,15,13,15,21,48,62,49,34,31,16,11,13,328,19,14,28,48,-13.3,-9.7,-3.7,4.8,11.3,16.1,19.3,18.4,12,6,-3.6,-10.2,4,4.80,-11.07,4.13,17.93,6.63,20.01,20.16,0.98,1.96,0.22,84.83,8.97,0.00,401.32,446.39,42.63,55.28,558.3,221.8,63.23,13.46,16.31
1388,Thomson,16,19,1,2,0,15,17,0,6,10,0,8,0,6,1,49.76,-106.58,8.3,8.73,725,19,16,17,23,45,63,50,37,34,17,13,18,352,21,18,28,50,-13.4,-9.8,-3.8,4.9,11.6,16.5,19.5,18.4,12.2,6.2,-3.5,-10.3,4,4.97,-11.17,4.23,18.13,6.81,20.23,21,1.07,1.95,0.00,67.11,8.87,0.00,284.24,324.61,21.88,68.74,875.98,293.5,63.91,13.89,29.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
