Lake ID,Lake Name,IIIa,IIIa.,IIIb,IIIb.,IIIc,IIIc.,IIa,IIa.,IIb,IIb.,IIc,IIc.,Ia,Ib,Ic,Lat,Long,Sample Depth,Lake area,Altitude,JanP,FebP,MarP,AprP,MayP,JunP,JulP,AugP,SepP,OctP,NovP,DecP,AnnualP,AutumP,WinterP,SpringP,SummerP,JanT,FebT,MarT,AprT,MayT,JunT,JulT,AugT,SepT,OctT,NovT,DecT,AvT,AutumT,WinterT,SpringT,SummerT,Soi_pH,WT,Surface WT,Wsalinity,OrgCarbon,TOCW,WO,WpH,TDS,Alkalinity,Bicarbonate,Carbonate,Ca,SO4,Na,Mg,K,Cl
893,Kipabiskau,11,19,1,15,1,10,0,13,0,6,11,6,0,0,5,52.57,-104.21,6.8,4.94,510,20,16,25,23,46,66,69,55,46,28,20,22,436,94,58,94,190,-19.8,-15.4,-9.5,2,10.2,14.9,17.3,15.9,10.2,3.8,-7,-15.8,0.6,2.33,-17.00,0.90,16.03,6.41,21.72,22.47,0.52,5.34,0.35,97.88,8.90,0.69,215.26,262.08,0.6,81.5,31.02,31.02,52.75,15.5,245.8
894,York,11,18,1,4,9,0,19,0,3,10,18,0,1,6,1,51.16,-102.49,3,3.16,510,21,16,24,22,46,70,62,58,47,25,19,21,431,91,58,92,190,-19.1,-15,-8.7,2.5,10.4,15.4,18,16.9,10.8,4.5,-6.1,-14.6,1.3,3.07,-16.23,1.40,16.77,7.00,22.80,22.86,1.09,3.01,0.33,120.78,8.97,0.00,298.28,332.14,31.33,37.6,676.7,127.3,176.17,58.72,45.36
895,Alsask,28,13,0,5,1,10,0,22,0,1,15,2,0,0,1,51.34,-109.88,3.2,2.04,636,14,11,14,20,34,54,53,42,31,13,11,13,310,55,38,68,149,-14.9,-11,-5.4,4.6,11.4,16,18.7,17.5,11.7,5.7,-4.7,-11.2,3.2,4.23,-12.37,3.53,17.40,6.57,19.60,19.8,74.84,1.51,0.19,250.77,9.35,0.00,4907.59,4453.09,1509.95,17.94,26777.84,19690,175.78,7665,24702.99
896,Lonetree,12,23,1,1,16,0,24,0,4,5,10,0,0,4,1,49.08,-108.26,4,1.37,856,16,13,16,25,49,62,46,33,31,15,12,14,332,58,43,90,141,-12.3,-8.6,-3.1,4.8,11,15.6,18.6,17.9,11.7,6,-3.3,-9.3,4.1,4.80,-10.07,4.23,17.37,6.66,20.03,20.03,0.19,1.89,0.33,100.41,9.05,0.00,200.91,234.78,10.22,38.15,72.5,26.06,17.2,20.23,5.77
897,Opuntia,26,5,0,21,1,7,0,16,0,5,8,6,0,0,5,51.80,-108.57,1.6,14.03,592,16,12,17,22,36,61,59,44,30,15,14,15,341,59,43,75,164,-17.3,-13,-6.7,3.8,11.3,15.6,18.3,17.4,11.2,4.9,-5.6,-13,2.2,3.50,-14.43,2.80,17.10,6.92,22.73,22.73,2.98,2.12,0.15,63.90,9.02,0.00,576.95,654.05,49.18,52.25,1749.34,996.1,123.75,22.55,166.08
898,Buffalo Pound,4,12,1,20,2,11,0,16,0,6,10,9,0,0,7,50.60,-105.41,4.1,28.72,506,18,14,18,24,44,66,53,39,36,18,15,18,363,69,50,86,158,-15.7,-11.5,-5.5,4.5,11.7,16.6,19.7,18.6,12.2,6.1,-4,-11.6,3.4,4.77,-12.93,3.57,18.30,6.86,22.51,23.13,0.31,2.15,0.21,92.30,8.85,0.00,127.82,155.98,155.98,31.69,197.81,62.01,22.23,6.67,29.19
899,Greenwater,15,24,1,3,10,0,14,1,6,10,9,0,1,5,1,52.51,-103.51,7.5,11.04,531,21,17,26,24,47,72,71,59,49,29,24,23,462,102,61,97,202,-20.5,-16,-10,1.5,9.8,14.5,17,15.7,9.8,3.7,-7.2,-16.1,0.2,2.10,-17.53,0.43,15.73,6.17,20.15,21.1,0.33,5.50,0.45,75.05,8.23,0.00,178.92,217.1,1.22,52.63,186.68,23.82,43.41,10.62,7.07
900,Bullkin,5,34,0,1,9,2,28,0,3,5,11,0,0,4,0,49.25,-105.07,0.7,1.79,665,10,8,13,22,51,63,50,39,36,16,9,11,328,61,29,86,152,-13.3,-9.8,-3.6,5.2,11.9,17,20.1,18.9,12.6,6.5,-3.4,-10.7,4.3,5.23,-11.27,4.50,18.67,6.80,19.40,19.4,2.01,1.87,0.05,87.70,9.06,0.00,524.18,588.13,50.67,28.69,1290.74,858.7,55.7,18.71,116.78
901,Bitter,3,0,37,0,5,0,26,0,5,15,5,0,0,5,0,50.10,-109.79,0.9,20.00,708,19,15,18,24,35,59,43,36,31,14,13,16,323,58,50,77,138,-13.8,-9.3,-4,4.9,11.6,16.1,19,18,12,6,-3.5,-9.5,4,4.83,-10.87,4.17,17.70,6.59,19.10,19.1,15.11,1.28,0.10,63.05,8.69,0.00,496.61,561.37,43.91,153.1,22393.55,8435,1874,142.5,2431.96
902,Mason,7,22,0,0,10,0,24,0,6,3,23,0,0,4,1,50.36,-109.36,1.9,0.74,687,19,15,19,25,36,62,46,38,32,15,14,16,337,61,50,80,146,-14.1,-9.8,-4.4,4.7,11.5,15.9,19,18,12,5.9,-3.7,-9.9,3.8,4.73,-11.27,3.93,17.63,6.63,19.30,19.3,4.97,1.56,0.24,54.53,9.25,0.00,967.91,1023.97,154.58,19.56,3282.86,1956.8,336.16,24.08,402.28
903,Cypress,9,1,28,2,10,0,21,0,5,9,9,0,1,5,1,49.46,-109.50,5.6,21.70,970,22,18,18,26,39,61,44,36,31,14,15,17,341,60,57,83,141,-14.7,-10.2,-5.1,3.5,9.8,14.3,17.5,16.7,10.5,4.7,-4.4,-10.3,2.7,3.60,-11.73,2.73,16.17,6.73,19.08,19.03,0.30,2.26,0.16,71.80,8.82,0.00,285,336.86,10.75,54.86,1232.56,537,231.88,29.29,384.84
904,Edouard,18,19,1,1,12,0,19,0,5,5,15,0,0,5,1,52.38,-104.34,5.6,1.11,577,20,16,25,22,46,65,69,53,45,26,19,22,428,90,58,93,187,-19.6,-15.5,-9.5,1.9,10,14.7,17.2,16,10.1,3.8,-6.9,-15.5,0.6,2.33,-16.87,0.80,15.97,7.11,19.83,20.01,7.43,3.16,0.00,40.87,11.09,0.45,179.26,212.83,5.83,48.63,574.73,218.15,158.29,26,165.59
905,Newton,19,18,1,1,18,0,18,0,6,5,10,0,0,5,1,49.31,-107.81,4.2,5.01,809,15,13,16,23,47,62,47,32,30,15,12,14,326,57,42,86,141,-12.9,-9,-3.4,4.8,11.1,15.7,19,18.2,11.8,6,-3.5,-9.5,4,4.77,-10.47,4.17,17.63,6.80,20.55,20.73,0.38,1.73,0.09,90.71,8.95,0.00,188.88,222.4,7.96,48.26,254.73,76.85,37.28,7.68,4.87
907,Little Manitou B,3,0,13,1,13,0,25,0,2,37,2,0,0,1,0,51.72,-105.43,6.7,15.66,598,20,14,20,22,36,70,71,56,33,16,16,21,395,65,55,78,197,-17.4,-12.8,-7.1,3.5,11,15.2,17.6,16.4,10.6,4.7,-5.6,-13.1,1.9,3.23,-14.43,2.47,16.40,6.80,19.76,20.38,3.62,2.19,0.49,138.88,9.15,42.52,1528.13,1855.37,338.47,11.67,1542.39,1453.8,76.74,56.04,255.46
908,McLean,1,0,43,0,33,0,0,0,1,19,1,0,0,1,0,52.61,-109.38,0.065,0.66,576,19,13,20,22,36,68,69,54,33,16,16,20,386,65,52,78,191,-17.5,-13,-7.1,3.5,11,15.2,17.7,16.5,10.8,4.7,-5.8,-13.3,1.9,3.23,-14.60,2.47,16.47,6.30,20.54,20.53,46.22,3.10,0.11,0.00,9.27,0.00,1116.56,1263.12,97.78,60.29,53982.66,20100,2348,466,1178.57
909,Annie Laurie,15,1,14,1,14,0,18,0,6,17,5,0,0,7,1,51.97,-102.66,1.3,1.30,520,21,15,26,23,45,71,68,58,48,28,22,21,446,98,57,94,197,-20.4,-15.8,-9.6,1.6,9.6,14.5,17.4,16,10,4,-6.9,-15.5,0.4,2.37,-17.23,0.53,15.97,6.60,22.10,22.1,0.25,2.48,0.46,128.10,8.78,0.00,161.59,191.44,5.65,44.5,131.7,12.84,34.29,7.77,3.7
910,Shoe,0,0,24,0,0,0,21,0,9,24,7,0,0,10,5,49.72,-105.36,3.8,3.80,679,14,10,15,23,49,65,50,40,36,15,11,14,342,62,38,87,155,-14.2,-10.9,-4.7,4.4,11.2,16.3,19.4,18.3,12,5.8,-3.9,-10.8,3.6,4.63,-11.97,3.63,18.00,6.80,19.90,20.03,25.09,1.55,0.32,75.07,8.90,0.00,732.43,772.29,119.48,86.57,31747.49,17128,1686,372.8,4062.01
911,Grassy,14,20,1,1,16,0,19,0,6,6,11,0,0,6,1,51.24,-104.63,2,0.69,628,18,13,22,21,50,68,65,47,45,23,15,19,406,83,50,93,180,-18.1,-14.1,-7.9,2.7,10.4,15.1,17.9,16.9,10.8,4.5,-5.9,-14,1.5,3.13,-15.40,1.73,16.63,6.98,21.27,21.3,0.64,2.62,0.43,82.18,8.98,0.00,386.6,432.9,38.23,56.43,359.32,41.3,130.17,51.11,25.43
912,Farewell,3,36,0,0,2,1,35,6,1,3,0,0,11,2,0,52.47,-109.38,0.4,1.11,579,18,13,19,22,35,67,68,52,32,16,15,19,376,63,50,76,187,-17.6,-12.9,-7.1,3.6,11,15.3,17.7,16.6,10.9,4.8,-5.7,-13.1,2,3.33,-14.53,2.50,16.53,6.77,16.50,16.5,3.57,1.90,0.08,133.20,9.40,0.00,1501.37,1819.01,187,16.99,2509.67,1859,72.77,35.32,180.69
913,Arthur,5,0,15,0,8,0,21,0,8,29,5,0,0,6,4,52.56,-105.45,6.7,2.65,541,20,17,22,22,41,66,64,51,40,23,17,21,404,80,58,85,181,-19,-15.4,-8.8,2.5,10.6,15.3,17.8,16.4,10.6,4.2,-7,-14.5,1.1,2.60,-16.30,1.43,16.50,6.86,15.06,20.34,8.30,3.58,0.26,99.00,8.88,9.31,379.31,462.88,0,182.5,6942.54,1141.4,1508,141.6,134.97
914,Rabbit,7,1,15,1,11,0,20,0,9,20,6,1,0,7,2,52.62,-106.99,6.5,3.76,499,18,13,19,21,39,63,65,46,35,19,15,20,373,69,51,79,174,-17.9,-14.3,-7.9,3.4,11.3,15.7,18,16.6,10.7,4.5,-6.4,-13.8,1.7,2.93,-15.33,2.27,16.77,6.54,19.05,19.94,4.23,3.09,0.52,85.00,9.21,4.96,433.04,480.35,47.3,66.26,3808.04,761.2,693.2,79.83,75.57
915,Wolverine,6,1,18,1,10,0,19,0,8,19,5,1,0,9,3,52.02,-105.23,3.1,3.93,546,18,15,19,20,38,67,60,46,39,21,14,18,375,74,51,77,173,-18.8,-15,-8.2,2.7,10.7,15.5,18.3,17.4,11.1,4.8,-6.1,-14.2,1.5,3.27,-16.00,1.73,17.07,7.15,21.24,21.3,0.80,2.99,0.46,141.00,8.93,0.00,212.98,250.23,250.23,91.01,513.48,70.36,114.2,30.66,17.51
916,Clearwater,14,1,17,3,11,0,16,0,6,15,8,0,1,7,1,50.87,-107.93,7,0.56,680,18,14,18,22,39,66,53,38,31,16,14,15,344,61,47,79,157,-15,-11.3,-5.2,4.3,11.4,15.9,18.6,17.8,11.7,5.6,-4.5,-11.4,3.2,4.27,-12.57,3.50,17.43,6.63,19.08,19.3,0.68,0.00,0.31,88.49,9.18,0.00,605.51,660.72,76.89,6.97,1214.27,91.67,152.3,27.96,43.53
918,Kindersley,17,18,1,1,0,0,24,22,0,0,0,0,12,5,0,51.42,-109.10,1.6,0.09,659,16,12,17,23,34,59,55,43,30,14,13,15,331,57,43,74,157,-16.9,-12,-6.5,3.7,11.1,15.6,18.5,17.4,11.4,5.2,-5,-11.9,2.6,3.87,-13.60,2.77,17.17,6.81,17.57,17.57,0.42,1.99,0.08,62.47,9.66,0.00,151.39,175.52,9.07,54.99,342.09,87.44,52.02,16.18,22.32
919,Lewis Creek South,10,21,1,1,0,11,18,0,6,7,0,16,1,8,1,51.44,-105.53,1.9,1.73,528,14,14,16,20,38,74,54,41,35,16,13,14,349,64,42,74,169,-17.7,-13.6,-7.2,3.5,11,15.8,18.9,17.9,11.5,5.5,-4.8,-12.6,2.4,4.07,-14.63,2.43,17.53,6.86,21.10,21.1,1.36,2.33,0.25,49.90,8.74,0.00,167.95,204.96,0,118.05,1052.72,198.5,202.13,31.45,28.55
920,Snipe,6,32,2,2,0,8,22,0,7,6,0,8,0,6,1,51.22,-108.86,1.2,4.27,650,16,11,17,22,34,59,54,42,29,15,13,14,326,57,41,73,155,-15.9,-11.6,-5.6,4.3,11.5,16.1,18.7,17.8,11.7,5.3,-4.8,-11.8,3,4.07,-13.10,3.40,17.53,7.15,18.65,18.65,1.67,2.00,0.12,89.65,8.85,0.00,603.27,712.31,23.48,66.7,831.91,569.8,148.06,42.05,90.59
922,Crooked,19,16,2,2,13,0,11,0,9,8,10,1,1,6,2,50.60,-102.68,10.2,16.11,449,19,14,19,24,45,64,56,55,46,25,17,20,404,88,53,88,175,-17.9,-13.8,-6.9,3.7,11.1,16,18.7,17.6,11.3,5.1,-5.1,-13.5,2.2,3.77,-15.07,2.63,17.43,7.37,21.33,24.25,0.82,2.85,0.18,89.06,8.72,0.00,226.84,268.2,8.48,70.08,422.27,159.9,70.34,20.42,63.74
923,Charron,6,1,12,1,14,0,18,0,5,32,3,1,0,5,2,52.40,-104.31,8.8,4.02,571,20,16,25,22,46,65,69,54,46,26,19,22,430,91,58,93,188,-19.6,-15.5,-9.6,1.8,10,14.6,17.2,16,10,3.7,-7,-15.7,0.5,2.23,-16.93,0.73,15.93,6.91,16.78,18.9,4.90,2.67,0.36,83.20,10.55,5.69,423.42,487.68,28.55,65.49,3561.7,760.3,811,111,177.83
924,Cutbank,9,20,1,1,12,0,22,0,5,6,16,0,0,7,1,50.54,-107.00,2.4,2.36,700,18,16,18,21,40,65,51,38,34,17,14,19,351,65,53,79,154,-14.3,-11,-5.2,4.3,11.4,16.1,18.9,17.8,11.6,5.8,-4.1,-10.8,3.4,4.43,-12.03,3.50,17.60,6.60,20.43,20.9,2.41,1.49,0.20,152.92,9.13,0.00,504.58,538.96,75.51,54.77,1745.65,823,182.6,51.81,46.38
925,WhiteBear,4,22,1,2,6,0,25,0,3,6,22,0,0,3,6,49.77,-102.28,8.5,8.57,725,19,15,20,29,51,73,63,60,48,25,15,18,436,88,52,100,196,-17.5,-13.9,-7.4,2.9,10.2,15,18,16.8,10.6,4.6,-5.6,-13.8,1.7,3.20,-15.07,1.90,16.60,5.82,19.18,19.2,2.03,1.47,0.25,80.53,8.67,0.00,721.2,762.77,115.37,22.16,1884.57,162.86,605.66,113.28,46.17
926,Reflex,0,17,0,0,27,0,17,0,0,0,39,0,0,0,0,52.66,-110.01,2.8,5.52,588,20,14,20,22,37,72,71,57,34,16,15,20,398,65,54,79,200,-17.1,-12.4,-6.7,3.7,11,15.4,17.8,16.4,10.7,4.8,-5.3,-12.7,2.1,3.40,-14.07,2.67,16.53,6.30,22.40,22.4,102.22,1.20,0.29,63.30,9.40,0.00,13266.35,10566.62,5528.74,4.36,5234.62,35885,92.64,784.2,45022.41
928,Lac Pelletier,16,27,1,3,0,8,15,0,5,9,0,10,1,4,1,49.99,-107.94,8.8,3.02,826,19,16,19,25,44,68,48,36,33,16,14,17,355,63,52,88,152,-13.1,-9.6,-4.3,4.3,10.7,15.3,18.3,17.5,11.5,5.7,-3.8,-10,3.5,4.47,-10.90,3.57,17.03,6.64,20.95,21.67,0.41,2.16,0.36,130.70,9.46,0.54,315.8,342.62,342.62,23.58,357.11,127.5,101.4,18.56,38.67
929,Richmond,3,23,1,1,21,0,14,0,3,4,26,0,0,3,1,52.00,-108.02,1.8,3.18,627,16,13,19,22,40,62,61,45,31,16,15,17,357,62,46,81,168,-18,-13.8,-7.3,3.3,11,15.2,17.8,16.7,10.7,4.4,-6.2,-14,1.7,2.97,-15.27,2.33,16.57,6.77,18.06,18.06,10.02,1.49,0.50,54.60,8.62,0.00,527.67,641.48,2.4,83.14,8721.85,2967.5,1025.42,180.96,181.77
930,Dewey,4,24,2,1,22,0,15,0,3,2,24,0,0,3,1,50.58,-107.07,2.3,0.53,735,18,16,18,21,40,66,52,38,34,17,14,19,353,65,53,79,156,-14.6,-11.3,-5.3,4.1,11,15.7,18.7,17.6,11.5,5.6,-4.2,-11,3.2,4.30,-12.30,3.27,17.33,6.80,18.80,19.03,8.54,1.41,0.27,41.05,8.40,0.00,576.82,653.07,49.99,130.8,10779.76,2627,1795.5,178.1,257.89
931,Round,17,15,1,2,15,0,13,0,9,8,10,1,1,7,1,50.54,-102.40,10.4,11.57,439,19,14,20,24,45,66,57,56,47,25,16,19,408,88,52,89,179,-17.6,-13.7,-6.9,3.7,11.2,16.1,18.9,17.5,11.5,5.1,-5.3,-13.8,2.2,3.77,-15.03,2.67,17.50,7.26,21.53,22.6,0.83,2.92,0.17,94.52,8.82,0.00,248.02,286.47,15.92,77.72,424.29,159.7,68.11,20.09,60.28
933,Pasqua,15,15,1,1,16,0,18,0,7,6,13,0,0,6,1,50.78,-103.95,12.5,18.69,476,19,13,18,21,49,71,60,49,44,22,16,18,400,82,50,88,180,-17.7,-13.5,-6.9,3.5,11.1,16,18.9,17.7,11.5,5.5,-5.3,-13.4,2.3,3.90,-14.87,2.57,17.53,7.21,21.13,22.3,0.77,3.19,0.15,54.23,8.78,0.00,228.85,262.18,16.8,67.15,399.31,158.4,56.6,19.59,69.11
934,Lenore SB,6,19,1,2,9,0,21,0,7,7,17,1,0,8,3,52.44,-105.02,9.1,0.00,521,21,17,22,20,40,64,64,50,41,24,17,21,401,82,59,82,178,-19.5,-15.4,-8.9,2.3,10.5,15.3,17.9,16.8,10.7,4.3,-6.7,-15,1,2.77,-16.63,1.30,16.67,7.06,20.95,21.54,2.21,0.00,0.49,53.09,9.38,2.70,369.38,408.36,41.7,77.14,1665.03,283.6,303.8,63.55,104.62
935,L. Manitou,8,16,0,0,10,0,23,0,8,9,26,0,0,0,0,52.61,-109.60,3.8,6.73,492,16,14,17,20,38,69,56,42,36,18,13,16,355,67,46,75,167,-18,-14.1,-7.4,3.4,11.3,15.8,18.8,17.7,11.6,5.3,-5.4,-13.1,2.2,3.83,-15.07,2.43,17.43,6.46,21.45,21.56,44.43,0.00,0.55,132.20,9.19,0.00,599.35,654.31,75.8,294.7,36020.48,11412,8267,485.4,9741.1
936,Adrian,7,21,0,1,12,0,27,0,2,7,15,0,1,5,0,49.69,-102.87,1.2,0.25,607,19,15,19,29,50,70,59,54,46,24,15,18,418,85,52,98,183,-16.5,-13.6,-6.1,3.7,10.9,15.9,19.1,17.6,11.7,5.5,-4.9,-12.9,2.5,4.10,-14.33,2.83,17.53,6.76,19.83,19.8,0.79,1.88,0.20,94.93,9.13,0.00,770.81,843.12,95.9,18.67,190.3,283.1,59.84,57.56,40.85
937,Gull,12,22,1,2,12,0,20,0,6,7,11,0,0,7,1,50.11,-108.50,5,0.59,793,21,17,21,26,42,68,48,37,33,16,15,17,361,64,55,89,153,-13.4,-9.6,-4.4,4.3,10.8,15.4,18.2,17.3,11.3,5.7,-3.8,-9.7,3.5,4.40,-10.90,3.57,16.97,6.95,20.08,20.1,2.04,1.55,0.00,99.47,8.96,0.00,310.05,336.31,41.35,126.3,1584.97,533.3,224.73,46.63,107.46
938,Deadmoose,8,18,0,1,13,0,20,0,7,6,18,0,0,7,2,52.31,-105.17,15.1,10.70,535,21,17,21,20,39,66,62,48,40,22,16,20,392,78,58,80,176,-19.2,-15.3,-8.6,2.5,10.7,15.3,18,17,11,4.5,-6.5,-14.6,1.2,3.00,-16.37,1.53,16.77,6.99,12.53,19.8,12.27,3.14,0.25,54.24,8.87,13.43,260.1,273.53,43.14,129.6,4303.93,2316,735.46,128.88,2168.43
939,Success,5,23,0,0,5,0,23,0,4,4,32,0,0,3,0,50.49,-108.02,17.4,1.42,710,19,15,18,23,41,68,50,36,32,16,13,15,346,61,49,82,154,-13.9,-10.3,-4.6,4.5,11.3,16,18.7,17.9,11.8,5.9,-3.9,-10.3,3.6,4.60,-11.50,3.73,17.53,6.64,11.21,22.25,34.97,1.70,0.15,55.79,8.62,34.62,1511.97,1665.49,353.98,34.99,15361.92,6418,2648.5,376.2,1244.21
940,Luck,2,29,0,1,0,3,27,0,6,6,0,15,0,8,2,51.05,-107.09,0.8,28.27,578,17,14,16,20,37,62,53,36,31,17,13,17,333,61,48,73,151,-15.7,-12.3,-5.8,4.3,11.6,16.1,19,17.8,11.8,5.7,-4.5,-11.8,3,4.33,-13.27,3.37,17.63,6.65,18.20,18.2,4.55,1.83,0.13,96.65,9.64,0.00,273.43,237.51,94.56,91.49,4514.06,1184.2,791.01,118.5,188.18
941,Chapleau,11,19,0,2,14,0,19,0,5,8,12,0,1,7,1,50.18,-103.34,1.4,1.95,650,21,16,19,27,51,71,59,54,47,24,17,21,427,88,58,97,184,-17.2,-13.5,-6.7,3.2,10.6,15.5,18.4,17.3,11,5.1,-5.1,-13.1,2.1,3.67,-14.60,2.37,17.07,7.03,21.53,21.53,0.41,2.72,0.27,112.97,9.00,0.00,217.15,249.47,15.27,37.58,234.29,40.77,67.85,13.23,15.21
942,Madge,22,14,1,1,12,0,15,0,7,6,13,0,0,6,1,51.65,-101.63,12.3,12.18,609,21,16,26,23,43,75,70,63,52,28,21,22,460,101,59,92,208,-19.9,-16,-9.4,1.7,9.7,14.6,17.2,15.8,9.8,3.8,-7.1,-16.2,0.3,2.17,-17.37,0.67,15.87,6.05,19.41,20.9,0.38,6.54,0.24,96.30,8.36,0.00,178.33,216.56,1.04,54.75,244.43,14.74,60.08,13.2,4.88
943,Middle,5,25,0,0,5,0,28,0,3,7,21,0,0,6,0,52.57,-105.21,10,8.34,513,21,17,22,21,41,65,64,51,41,23,17,22,405,81,60,84,180,-19.5,-15.5,-8.8,2.4,10.6,15.2,17.9,16.5,10.7,4.2,-6.8,-14.7,1,2.70,-16.57,1.40,16.53,6.62,16.79,19.87,5.14,2.70,0.27,79.18,8.93,5.95,431.38,479.29,46.34,108.1,4110.85,934.8,689.5,99.29,329.24
944,Wakaw,8,23,1,2,6,0,19,0,7,6,15,1,0,8,2,52.64,-105.64,10.3,11.66,542,20,16,21,22,41,66,65,51,40,22,17,21,402,79,57,84,182,-18.5,-15.4,-8.6,2.6,10.7,15.4,17.7,16.2,10.5,4.1,-7.3,-14.3,1.1,2.43,-16.07,1.57,16.43,6.75,19.73,21.12,1.53,3.23,0.36,99.42,8.54,1.91,186.4,223.96,223.96,129.6,1134.01,186.3,201.96,26.85,35.35
